RMSE,MAPE,R2,RAE,TRAIN,TEST
3.12250326,5.05743212,94.2668988,20.6440781,0.001022457,0.000975183
3.12222051,5.05668701,94.2679442,20.6416097,0.001022208,0.000975005
3.12187526,5.05473107,94.269219,20.636297,0.001021951,0.000974788
3.12166737,5.05548804,94.2699895,20.637782,0.001021682,0.000974657
3.12142161,5.0550681,94.270899,20.6362824,0.00102144,0.000974502
3.12119057,5.05596565,94.2717569,20.6375369,0.001021188,0.000974356
3.12095359,5.05591133,94.2726337,20.6367276,0.001020937,0.000974207
3.12068372,5.0556997,94.273632,20.6355972,0.001020708,0.000974037
3.1203898,5.05493937,94.2747187,20.6330203,0.001020436,0.000973852
3.12013351,5.05448628,94.2756626,20.6311129,0.00102019,0.000973691
3.11984192,5.05293617,94.2767405,20.6272102,0.001019979,0.000973508
3.11959064,5.05305204,94.2776714,20.6268783,0.00101972,0.00097335
3.11938556,5.05316272,94.2784325,20.6264365,0.001019466,0.000973221
3.11919114,5.05497038,94.2791469,20.6301219,0.001019235,0.000973099
3.11893341,5.05384144,94.2801021,20.6267109,0.001018995,0.000972937
3.11861465,5.05148822,94.281279,20.6205869,0.001018765,0.000972736
3.11838932,5.05257409,94.2821114,20.6226084,0.001018524,0.000972595
3.11816706,5.05288226,94.2829284,20.6225869,0.001018274,0.000972456
3.11793612,5.05212506,94.2837855,20.6203514,0.00101804,0.00097231
3.11764219,5.05158363,94.2848704,20.6183228,0.001017818,0.000972126
3.11745627,5.05192472,94.2855534,20.6186259,0.001017585,0.000972009
3.11721762,5.05074872,94.2864397,20.6152879,0.001017358,0.000971859
3.1169954,5.05084672,94.2872574,20.6149534,0.001017122,0.000971719
3.11680918,5.05225485,94.2879429,20.6176958,0.001016907,0.000971603
3.11651659,5.05132146,94.2890228,20.6147762,0.001016665,0.000971419
3.11630254,5.05005621,94.2898134,20.6115543,0.001016461,0.000971285
3.11604506,5.04964488,94.2907624,20.6100415,0.001016198,0.000971123
3.11583757,5.05005115,94.2915266,20.6101391,0.00101602,0.000970993
3.11563286,5.05057481,94.292279,20.6109003,0.001015776,0.000970865
3.11546031,5.05120815,94.292917,20.611804,0.00101557,0.000970757
3.11512902,5.04920597,94.2941386,20.6065508,0.00101532,0.000970549
3.11487598,5.04816194,94.2950704,20.6034275,0.001015122,0.00097039
3.11473615,5.04909328,94.2955855,20.6052258,0.001014897,0.000970303
3.11445372,5.04813386,94.2966246,20.6023195,0.001014677,0.000970126
3.11431804,5.04864901,94.297127,20.6032023,0.001014458,0.000970041
3.1141221,5.0493519,94.297849,20.6042802,0.001014251,0.000969918
3.11385532,5.04852273,94.29883,20.601681,0.001014029,0.000969751
3.1136062,5.04773601,94.2997499,20.5991833,0.001013826,0.000969595
3.11346468,5.04830274,94.3002685,20.6002874,0.001013593,0.000969507
3.11326274,5.04765829,94.3010132,20.598184,0.001013393,0.00096938
3.11299361,5.04668929,94.3020036,20.5952231,0.001013205,0.000969211
3.1128161,5.04703393,94.3026559,20.5955614,0.00101298,0.0009691
3.11259933,5.04697121,94.3034534,20.5949239,0.001012778,0.000968964
3.11239147,5.04685969,94.3042186,20.594008,0.001012572,0.000968835
3.11217172,5.04616691,94.3050277,20.5918855,0.001012352,0.000968697
3.1120092,5.04699054,94.305625,20.5934092,0.001012157,0.000968595
3.11177468,5.04579284,94.3064865,20.5899163,0.001011971,0.000968449
3.11163158,5.04614256,94.3070116,20.5905154,0.001011732,0.000968359
3.11136006,5.04556524,94.30801,20.5883344,0.001011554,0.000968189
3.1112055,5.04581736,94.3085792,20.5886355,0.001011355,0.000968093
3.1110156,5.0457489,94.3092754,20.5879822,0.001011154,0.000967974
3.11077787,5.04452973,94.310152,20.5846852,0.00101096,0.000967825
3.1106624,5.04560905,94.3105725,20.5867816,0.00101078,0.000967753
3.11041325,5.0448125,94.3114883,20.5841467,0.001010556,0.000967598
3.11022087,5.04418641,94.3121979,20.582163,0.001010378,0.000967477
3.11000358,5.04383757,94.312995,20.5807441,0.001010171,0.000967341
3.10979055,5.04344501,94.3137776,20.5793841,0.001009978,0.000967208
3.10968823,5.0443751,94.3141545,20.5812432,0.001009804,0.000967144
3.10948649,5.04456836,94.3148924,20.5812364,0.001009582,0.000967019
3.1092751,5.04422672,94.3156694,20.5797828,0.001009411,0.000966887
3.10905707,5.04223948,94.3164717,20.5747475,0.00100922,0.00096675
3.1088938,5.04260849,94.3170706,20.5751524,0.001009019,0.000966648
3.10875948,5.04362285,94.3175629,20.5770917,0.001008843,0.000966564
3.10863133,5.04351894,94.3180355,20.5763841,0.001008677,0.000966484
3.10843445,5.04327245,94.318755,20.5753592,0.001008464,0.000966362
3.10821212,5.04228524,94.3195716,20.5726435,0.001008296,0.000966223
3.10800287,5.04209478,94.3203411,20.5717968,0.001008126,0.000966092
3.10781884,5.04188054,94.3210121,20.5705839,0.001007927,0.000965978
3.10764988,5.04156317,94.3216331,20.5694099,0.001007747,0.000965872
3.10754854,5.0419824,94.322007,20.5700485,0.001007582,0.000965809
3.10735216,5.04180597,94.3227266,20.5692215,0.001007381,0.000965686
3.10714042,5.04134229,94.3235029,20.5673812,0.001007207,0.000965554
3.10693918,5.04020302,94.324241,20.5644338,0.001007051,0.000965429
3.1068779,5.04226199,94.3244661,20.5689727,0.00100685,0.00096539
3.10659893,5.04019758,94.3254879,20.5634187,0.00100669,0.000965216
3.10646265,5.0409063,94.3259885,20.5645858,0.001006499,0.000965131
3.10630519,5.04033546,94.3265651,20.5629456,0.001006307,0.000965033
3.10612508,5.04006297,94.3272243,20.5620211,0.00100615,0.000964921
3.10601115,5.04090893,94.3276421,20.5634493,0.00100598,0.00096485
3.10587471,5.04017739,94.328143,20.5615026,0.00100581,0.000964765
3.10562339,5.03867041,94.329064,20.5574806,0.001005648,0.000964608
3.10543483,5.03893478,94.3297529,20.5575179,0.001005468,0.000964491
3.10533356,5.0394647,94.330127,20.5584898,0.001005282,0.000964428
3.10520825,5.04006985,94.3305812,20.5596493,0.001005121,0.00096435
3.1049868,5.03924366,94.3313961,20.5572206,0.001004969,0.000964212
3.1048088,5.0388793,94.332048,20.5559405,0.001004815,0.000964101
3.10469439,5.03911518,94.332466,20.5562136,0.001004615,0.000964029
3.10455018,5.0389504,94.3329954,20.5553917,0.00100447,0.000963939
3.10440583,5.03897963,94.3335206,20.5552107,0.001004311,0.00096385
3.1042203,5.03829862,94.3342019,20.5531801,0.00100414,0.000963734
3.1039887,5.03650854,94.3350489,20.5483488,0.001003975,0.00096359
3.10394228,5.03892002,94.3352185,20.5538038,0.001003844,0.000963562
3.10380016,5.0389828,94.3357392,20.5534758,0.001003647,0.000963473
3.103606,5.03748979,94.33645,20.5497469,0.001003494,0.000963352
3.10342945,5.03716917,94.3370972,20.5484946,0.001003346,0.000963242
3.10329366,5.03653399,94.3375937,20.5467124,0.001003163,0.000963157
3.1031778,5.03754482,94.3380168,20.5488018,0.001003012,0.000963085
