TIME,Origin,L3F,LSTM,SVR
25/06/2018 18:40,107,104.7128534,116.3156021,108.8683727
25/06/2018 18:45,108,102.9501659,116.7437673,105.8862939
25/06/2018 18:50,107,100.5124271,109.7025788,104.8977621
25/06/2018 18:55,106,100.4120809,106.6713399,104.8977621
25/06/2018 19:00,105,101.8577385,107.9905295,103.9121906
25/06/2018 19:05,107,102.458533,103.7665963,104.8977621
25/06/2018 19:10,107,104.5691144,105.1376909,104.8977621
25/06/2018 19:15,107,106.5257776,106.3616288,105.8862939
25/06/2018 19:20,108,108.2455885,105.3520918,104.8977621
25/06/2018 19:25,106,107.864641,103.0179363,103.9121906
25/06/2018 19:30,102,106.9659591,103.8094807,102.9297065
25/06/2018 19:35,105,104.8110414,106.3313115,104.8977621
25/06/2018 19:40,105,105.9994042,107.8384888,104.8977621
25/06/2018 19:45,106,106.3003898,105.9027374,104.8977621
25/06/2018 19:50,107,107.3859656,105.9810758,105.8862939
25/06/2018 19:55,107,109.14047,102.9307133,103.9121906
25/06/2018 20:00,106,107.715776,105.2631843,100.0020368
25/06/2018 20:05,104,101.9503707,100.6997353,102.9297065
25/06/2018 20:10,104,102.8567612,103.2844472,102.9297065
25/06/2018 20:15,105,103.1253183,103.3419508,103.9121906
25/06/2018 20:20,104,104.5048666,101.2224782,104.8977621
25/06/2018 20:25,102,107.7631903,104.028973,104.8977621
25/06/2018 20:30,102,109.9766529,102.6174206,103.9121906
25/06/2018 20:35,100,107.6137829,102.2566628,101.9504359
25/06/2018 20:40,100,104.9928021,106.2159324,101.9504359
25/06/2018 20:45,100,103.2196534,104.5251936,102.9297065
25/06/2018 20:50,100,103.2794523,104.791714,101.9504359
25/06/2018 20:55,97,102.8342175,100.5398631,100.0020368
25/06/2018 21:00,97,101.4469302,104.6543533,100.0020368
25/06/2018 21:05,97,101.438992,103.4939212,98.0679884
25/06/2018 21:10,95,98.79486382,100.5998611,98.0679884
25/06/2018 21:15,94,97.53592432,103.3343112,98.0679884
25/06/2018 21:20,94,97.99140096,97.94923663,98.0679884
25/06/2018 21:25,94,99.0057385,101.1699808,95.19596863
25/06/2018 21:30,96,96.30825162,99.25365567,95.19596863
25/06/2018 21:35,94,96.05730414,101.0156137,95.19596863
25/06/2018 21:40,95,95.42423546,102.3692799,93.30206507
25/06/2018 21:45,93,93.33946049,94.73661065,92.36170271
25/06/2018 21:50,94,91.97649181,93.56464744,92.36170271
25/06/2018 21:55,94,92.70683467,94.2179352,92.36170271
25/06/2018 22:00,93,92.45554805,94.04407203,94.24685968
25/06/2018 22:05,93,94.80250239,96.43751323,92.36170271
25/06/2018 22:10,93,94.87734675,95.6308651,93.30206507
25/06/2018 22:15,94,95.97661734,92.76334703,91.42588956
25/06/2018 22:20,94,94.00276303,92.57846296,92.36170271
25/06/2018 22:25,93,93.97192657,90.88190377,92.36170271
25/06/2018 22:30,92,93.28999043,95.62150121,91.42588956
25/06/2018 22:35,91,93.34085882,91.43450618,91.42588956
25/06/2018 22:40,91,92.73751378,91.96591079,91.42588956
25/06/2018 22:45,91,93.4148103,92.46209383,92.36170271
25/06/2018 22:50,91,93.87329102,92.47864068,92.36170271
25/06/2018 22:55,91,94.48023915,94.13988233,91.42588956
25/06/2018 23:00,90,94.21456575,95.64699292,90.49474155
25/06/2018 23:05,90,92.79177487,92.98107862,89.56837363
25/06/2018 23:10,89,90.96157253,91.0781157,89.56837363
25/06/2018 23:15,90,89.76425588,88.70367229,89.56837363
25/06/2018 23:20,90,89.70103741,93.11787784,89.56837363
25/06/2018 23:25,89,90.38191259,88.29586089,89.56837363
25/06/2018 23:30,90,91.08161211,91.43822908,88.64689969
25/06/2018 23:35,89,90.60732782,91.74254119,88.64689969
25/06/2018 23:40,89,90.17242968,94.3811059,87.73043255
25/06/2018 23:45,87,88.95232975,87.2124809,88.64689969
25/06/2018 23:50,86,89.50634897,91.43726528,88.64689969
25/06/2018 23:55,88,89.89469409,91.61958396,87.73043255
26/06/2018 00:00,88,89.61783051,90.86361289,88.64689969
26/06/2018 00:05,87,90.3768599,89.78097975,87.73043255
26/06/2018 00:10,86,89.9491936,85.90397894,87.73043255
26/06/2018 00:15,87,89.18343306,86.672346,85.91296456
26/06/2018 00:20,87,87.1447885,90.08045375,85.01218386
26/06/2018 00:25,87,85.62553883,87.09440768,86.81908396
26/06/2018 00:30,87,86.39705896,89.60495114,86.81908396
26/06/2018 00:35,86,87.5394088,87.79939473,85.91296456
26/06/2018 00:40,86,87.29055643,86.59503102,85.01218386
26/06/2018 00:45,87,87.12288737,88.1637907,85.91296456
26/06/2018 00:50,88,87.66778052,86.09415174,85.91296456
26/06/2018 00:55,88,86.80670381,90.99169672,85.91296456
26/06/2018 01:00,87,87.16678441,83.60346854,85.91296456
26/06/2018 01:05,87,87.88624644,86.2264514,85.01218386
26/06/2018 01:10,87,87.25311875,86.23297572,85.01218386
26/06/2018 01:15,87,86.28672957,87.50594497,85.91296456
26/06/2018 01:20,87,87.07353592,86.6743058,86.81908396
26/06/2018 01:25,87,88.48905742,84.10451472,86.81908396
26/06/2018 01:30,87,89.30655122,87.98741519,85.91296456
26/06/2018 01:35,87,89.0676856,89.08894897,85.91296456
26/06/2018 01:40,88,88.48703563,88.20503414,85.91296456
26/06/2018 01:45,89,87.57443726,84.20323312,85.91296456
26/06/2018 01:50,89,87.02203751,87.03586936,85.91296456
26/06/2018 01:55,89,87.18948901,85.54287434,85.91296456
26/06/2018 02:00,89,87.72345901,89.49269354,85.91296456
26/06/2018 02:05,89,87.72345901,87.81735599,85.91296456
26/06/2018 02:10,89,87.72345901,86.56146467,86.81908396
26/06/2018 02:15,89,88.72547448,84.84127581,87.73043255
26/06/2018 02:20,89,90.16328335,89.70324636,87.73043255
26/06/2018 02:25,89,90.81234574,88.0992347,87.73043255
26/06/2018 02:30,89,91.04695141,88.65121365,87.73043255
26/06/2018 02:35,89,90.89846015,86.17280602,87.73043255
26/06/2018 02:40,89,90.19964159,89.66123164,87.73043255
26/06/2018 02:45,89,89.66817856,87.22796202,87.73043255
26/06/2018 02:50,89,89.66817856,90.27423501,87.73043255
26/06/2018 02:55,89,89.66817856,85.6630975,87.73043255
26/06/2018 03:00,89,89.66817856,86.18790329,87.73043255
